
              -- N E S T --
  Copyright (C) 2004 The NEST Initiative

 Version: 3.9.0-post0.dev0
 Built: Jan 15 2026 10:38:56

 This program is provided AS IS and comes with
 NO WARRANTY. See the file LICENSE for details.

 Problems or suggestions?
   Visit https://www.nest-simulator.org

 Type 'nest.help()' to find out more about NEST.



[   8% ] Model time: 150.5 ms, Real-time factor: 0.3254
[   8% ] Model time: 151.0 ms, Real-time factor: 0.3256
[   8% ] Model time: 151.5 ms, Real-time factor: 0.3256
[   8% ] Model time: 152.0 ms, Real-time factor: 0.3257
[   8% ] Model time: 152.5 ms, Real-time factor: 0.3258
[   8% ] Model time: 153.0 ms, Real-time factor: 0.3258
[   8% ] Model time: 153.5 ms, Real-time factor: 0.3260
[   8% ] Model time: 154.0 ms, Real-time factor: 0.3261
[   8% ] Model time: 154.5 ms, Real-time factor: 0.3261
[   8% ] Model time: 155.0 ms, Real-time factor: 0.3262
[   8% ] Model time: 155.5 ms, Real-time factor: 0.3263
[   8% ] Model time: 156.0 ms, Real-time factor: 0.3263
[   8% ] Model time: 156.5 ms, Real-time factor: 0.3264
[   8% ] Model time: 157.0 ms, Real-time factor: 0.3265
[   8% ] Model time: 157.5 ms, Real-time factor: 0.3266
[   8% ] Model time: 158.0 ms, Real-time factor: 0.3266
[   8% ] Model time: 158.5 ms, Real-time factor: 0.3268
[   8% ] Model time: 159.0 ms, Real-time factor: 0.3270
[   8% ] Model time: 159.5 ms, Real-time factor: 0.3270
[   8% ] Model time: 160.0 ms, Real-time factor: 0.3272
[   9% ] Model time: 160.5 ms, Real-time factor: 0.3274
[   9% ] Model time: 161.0 ms, Real-time factor: 0.3274
[   9% ] Model time: 161.5 ms, Real-time factor: 0.3276
[   9% ] Model time: 162.0 ms, Real-time factor: 0.3277
[   9% ] Model time: 162.5 ms, Real-time factor: 0.3277
[   9% ] Model time: 163.0 ms, Real-time factor: 0.3278
[   9% ] Model time: 163.5 ms, Real-time factor: 0.3278
[   9% ] Model time: 164.0 ms, Real-time factor: 0.3280
[   9% ] Model time: 164.5 ms, Real-time factor: 0.3281
[   9% ] Model time: 165.0 ms, Real-time factor: 0.3281
[   9% ] Model time: 165.5 ms, Real-time factor: 0.3282
[   9% ] Model time: 166.0 ms, Real-time factor: 0.3282
[   9% ] Model time: 166.5 ms, Real-time factor: 0.3283
[   9% ] Model time: 167.0 ms, Real-time factor: 0.3284
[   9% ] Model time: 167.5 ms, Real-time factor: 0.3285
[   9% ] Model time: 168.0 ms, Real-time factor: 0.3285
[   9% ] Model time: 168.5 ms, Real-time factor: 0.3286
[   9% ] Model time: 169.0 ms, Real-time factor: 0.3286
[   9% ] Model time: 169.5 ms, Real-time factor: 0.3288
[   9% ] Model time: 170.0 ms, Real-time factor: 0.3288
[   9% ] Model time: 170.5 ms, Real-time factor: 0.3288
[   9% ] Model time: 171.0 ms, Real-time factor: 0.3289
[   9% ] Model time: 171.5 ms, Real-time factor: 0.3289
[   9% ] Model time: 172.0 ms, Real-time factor: 0.3289
[   9% ] Model time: 172.5 ms, Real-time factor: 0.3291
[   9% ] Model time: 173.0 ms, Real-time factor: 0.3291
[   9% ] Model time: 173.5 ms, Real-time factor: 0.3292
[   9% ] Model time: 174.0 ms, Real-time factor: 0.3293
[   9% ] Model time: 174.5 ms, Real-time factor: 0.3294
[   9% ] Model time: 175.0 ms, Real-time factor: 0.3295
[   9% ] Model time: 175.5 ms, Real-time factor: 0.3296
[   9% ] Model time: 176.0 ms, Real-time factor: 0.3296
[   9% ] Model time: 176.5 ms, Real-time factor: 0.3297
[   9% ] Model time: 177.0 ms, Real-time factor: 0.3298
[   9% ] Model time: 177.5 ms, Real-time factor: 0.3299
[   9% ] Model time: 178.0 ms, Real-time factor: 0.3300
[   9% ] Model time: 178.5 ms, Real-time factor: 0.3300
[   9% ] Model time: 179.0 ms, Real-time factor: 0.3301
[   9% ] Model time: 179.5 ms, Real-time factor: 0.3301
[   9% ] Model time: 180.0 ms, Real-time factor: 0.3303
[  10% ] Model time: 180.5 ms, Real-time factor: 0.3304
[  10% ] Model time: 181.0 ms, Real-time factor: 0.3304
[  10% ] Model time: 181.5 ms, Real-time factor: 0.3305
[  10% ] Model time: 182.0 ms, Real-time factor: 0.3305
[  10% ] Model time: 182.5 ms, Real-time factor: 0.3306
[  10% ] Model time: 183.0 ms, Real-time factor: 0.3306
[  10% ] Model time: 183.5 ms, Real-time factor: 0.3307
[  10% ] Model time: 184.0 ms, Real-time factor: 0.3308
[  10% ] Model time: 184.5 ms, Real-time factor: 0.3308
[  10% ] Model time: 185.0 ms, Real-time factor: 0.3309
[  10% ] Model time: 185.5 ms, Real-time factor: 0.3310
[  10% ] Model time: 186.0 ms, Real-time factor: 0.3310
[  10% ] Model time: 186.5 ms, Real-time factor: 0.3310
[  10% ] Model time: 187.0 ms, Real-time factor: 0.3311
[  10% ] Model time: 187.5 ms, Real-time factor: 0.3312
[  10% ] Model time: 188.0 ms, Real-time factor: 0.3314
[  10% ] Model time: 188.5 ms, Real-time factor: 0.3315
[  10% ] Model time: 189.0 ms, Real-time factor: 0.3316
[  10% ] Model time: 189.5 ms, Real-time factor: 0.3316
[  10% ] Model time: 190.0 ms, Real-time factor: 0.3317
[  10% ] Model time: 190.5 ms, Real-time factor: 0.3318
[  10% ] Model time: 191.0 ms, Real-time factor: 0.3318
[  10% ] Model time: 191.5 ms, Real-time factor: 0.3319
[  10% ] Model time: 192.0 ms, Real-time factor: 0.3319
[  10% ] Model time: 192.5 ms, Real-time factor: 0.3320
[  10% ] Model time: 193.0 ms, Real-time factor: 0.3321
[  10% ] Model time: 193.5 ms, Real-time factor: 0.3322
[  10% ] Model time: 194.0 ms, Real-time factor: 0.3322
[  10% ] Model time: 194.5 ms, Real-time factor: 0.3322
[  10% ] Model time: 195.0 ms, Real-time factor: 0.3323
[  10% ] Model time: 195.5 ms, Real-time factor: 0.3323
[  10% ] Model time: 196.0 ms, Real-time factor: 0.3324
[  10% ] Model time: 196.5 ms, Real-time factor: 0.3325
[  10% ] Model time: 197.0 ms, Real-time factor: 0.3325
[  10% ] Model time: 197.5 ms, Real-time factor: 0.3326
[  10% ] Model time: 198.0 ms, Real-time factor: 0.3326
[  10% ] Model time: 198.5 ms, Real-time factor: 0.3327
[  10% ] Model time: 199.0 ms, Real-time factor: 0.3328
[  10% ] Model time: 199.5 ms, Real-time factor: 0.3328
[  10% ] Model time: 200.0 ms, Real-time factor: 0.3328
[  11% ] Model time: 200.5 ms, Real-time factor: 0.3329
[  11% ] Model time: 201.0 ms, Real-time factor: 0.3330
[  11% ] Model time: 201.5 ms, Real-time factor: 0.3330
[  11% ] Model time: 202.0 ms, Real-time factor: 0.3331
[  11% ] Model time: 202.5 ms, Real-time factor: 0.3332
[  11% ] Model time: 203.0 ms, Real-time factor: 0.3331
[  11% ] Model time: 203.5 ms, Real-time factor: 0.3330
[  11% ] Model time: 204.0 ms, Real-time factor: 0.3330
[  11% ] Model time: 204.5 ms, Real-time factor: 0.3329
[  11% ] Model time: 205.0 ms, Real-time factor: 0.3328
[  11% ] Model time: 205.5 ms, Real-time factor: 0.3327
[  11% ] Model time: 206.0 ms, Real-time factor: 0.3326
[  11% ] Model time: 206.5 ms, Real-time factor: 0.3325
[  11% ] Model time: 207.0 ms, Real-time factor: 0.3325
[  11% ] Model time: 207.5 ms, Real-time factor: 0.3325
[  11% ] Model time: 208.0 ms, Real-time factor: 0.3324
[  11% ] Model time: 208.5 ms, Real-time factor: 0.3323
[  11% ] Model time: 209.0 ms, Real-time factor: 0.3322
[  11% ] Model time: 209.5 ms, Real-time factor: 0.3321
[  11% ] Model time: 210.0 ms, Real-time factor: 0.3320
[  11% ] Model time: 210.5 ms, Real-time factor: 0.3319
[  11% ] Model time: 211.0 ms, Real-time factor: 0.3319
[  11% ] Model time: 211.5 ms, Real-time factor: 0.3318
[  11% ] Model time: 212.0 ms, Real-time factor: 0.3317
[  11% ] Model time: 212.5 ms, Real-time factor: 0.3316
